date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:48	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20May%202019%2010:06:47%20GMT	http://iproject25.icasites.nl/robots.txt		(from )
12:06:49	10319/10319	---M-Z	200	added ('OK')	text/html	etag:%224436d26ea3d51:0%22	http://iproject25.icasites.nl/	C:/Users/Sebastiaan%20Slijkhuis/Desktop/http___iproject25.icasites.nl/iproject25.icasites.nl/index.html	(from )
12:06:49	176514/176514	---M-Z	200	added ('OK')	text/css	etag:%22f5edb626ea3d51:0%22	http://iproject25.icasites.nl/assets/css/bulma.min.css	C:/Users/Sebastiaan%20Slijkhuis/Desktop/http___iproject25.icasites.nl/iproject25.icasites.nl/assets/css/bulma.min.css	(from http://iproject25.icasites.nl/)
12:06:49	9070/9070	---M-Z	200	added ('OK')	text/css	etag:%22979ea826ea3d51:0%22	http://iproject25.icasites.nl/assets/css/main.css	C:/Users/Sebastiaan%20Slijkhuis/Desktop/http___iproject25.icasites.nl/iproject25.icasites.nl/assets/css/main.css	(from http://iproject25.icasites.nl/)
12:06:49	509/509	---M-Z	200	added ('OK')	text/css	etag:%22979ea826ea3d51:0%22	http://iproject25.icasites.nl/assets/css/responsive.css	C:/Users/Sebastiaan%20Slijkhuis/Desktop/http___iproject25.icasites.nl/iproject25.icasites.nl/assets/css/responsive.css	(from http://iproject25.icasites.nl/)
12:06:50	10319/10319	---M-Z	200	added ('OK')	text/html	etag:%228087e025ea3d51:0%22	http://iproject25.icasites.nl/index.html	C:/Users/Sebastiaan%20Slijkhuis/Desktop/http___iproject25.icasites.nl/iproject25.icasites.nl/index-2.html	(from http://iproject25.icasites.nl/)
12:06:51	19902/19902	---M-Z	200	added ('OK')	text/html	etag:%2218168026ea3d51:0%22	http://iproject25.icasites.nl/veilingen.html	C:/Users/Sebastiaan%20Slijkhuis/Desktop/http___iproject25.icasites.nl/iproject25.icasites.nl/veilingen.html	(from http://iproject25.icasites.nl/)
12:06:51	8785/8785	---M-Z	200	added ('OK')	text/html	etag:%22ff8c7626ea3d51:0%22	http://iproject25.icasites.nl/veiling-item.html	C:/Users/Sebastiaan%20Slijkhuis/Desktop/http___iproject25.icasites.nl/iproject25.icasites.nl/veiling-item.html	(from http://iproject25.icasites.nl/)
12:06:54	14737/14737	---M--	200	added ('OK')	image/jpeg	etag:%225e4cf726ea3d51:0%22	http://iproject25.icasites.nl/assets/img/article2.jpg	C:/Users/Sebastiaan%20Slijkhuis/Desktop/http___iproject25.icasites.nl/iproject25.icasites.nl/assets/img/article2.jpg	(from http://iproject25.icasites.nl/)
12:06:55	21413/21413	---M--	200	added ('OK')	image/jpeg	etag:%222c721d27ea3d51:0%22	http://iproject25.icasites.nl/assets/img/article.jpg	C:/Users/Sebastiaan%20Slijkhuis/Desktop/http___iproject25.icasites.nl/iproject25.icasites.nl/assets/img/article.jpg	(from http://iproject25.icasites.nl/)
